Timestamp,AccelX,AccelY,AccelZ
9.766786,0.195816,0.062134,-0.589966
9.766977,0.209351,0.029907,-0.590332
9.785971,0.224167,0.04715,-0.583298
9.786164,0.235611,0.10434,-0.584442
9.805167,0.225922,0.160324,-0.575073
9.805359,0.213028,0.192108,-0.603287
9.824339,0.185913,0.214813,-0.67952
9.824562,0.120071,0.145569,-0.744141
9.84347,0.060303,0.06456,-0.740982
9.843664,0.025879,0.045761,-0.752838
9.862725,0.026016,0.065063,-0.781311
9.862922,0.009079,0.110687,-0.769943
9.881923,0.00177,0.170105,-0.716949
9.882115,-0.00827,0.225449,-0.666992
9.901024,-0.014389,0.246658,-0.651871
9.901317,-0.027649,0.219437,-0.665726
9.920373,-0.041977,0.121475,-0.70961
9.920619,-0.03157,0.030106,-0.771988
9.939288,-0.040787,-0.038483,-0.829041
9.939545,-0.063492,-0.018631,-0.893723
9.958377,-0.093842,0.096603,-0.941147
9.958485,-0.115082,0.247192,-0.94516
9.977863,-0.125473,0.33139,-0.946381
9.978054,-0.154312,0.351425,-0.947388
9.997164,-0.186111,0.353836,-0.960251
9.997376,-0.229935,0.338394,-0.976471
10.016233,-0.308533,0.314621,-0.99881
10.016462,-0.375885,0.265289,-1.024734
10.035409,-0.40506,0.229462,-1.027771
10.035602,-0.409302,0.205963,-1.040451
10.054613,-0.387558,0.206589,-1.067352
10.054809,-0.282898,0.236588,-1.054901
10.073771,-0.181381,0.270035,-1.011963
